Force_Target_N,Force_Actual_N,Stress_N_per_cm2,Aspect_Ratio_b_a,muscle_b_cm,muscle_a_cm,Volume_cm3,Am,Rho,Initial_Length_cm,Prestretch_Final_Length_cm,Prestretch_Elongation_cm,Prestretch_Strain,Max_Length_cm,Min_Length_cm,ROM_cm,Contraction_Strain,Completed_Date
36,46.498341,2.99155309,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,41.76337586629948,14.63905886629947,.539702,41.76337804266086,32.49702034859406,9.26635769406680,.341625,Fr 27. Feb 21:39:47 CET 2026
6,7.749723,.49859215,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,28.477809634409414,1.353492634409404,.049899,28.47780970511938,25.53776971017086,2.94003999494852,.108391,Fr 27. Feb 21:40:25 CET 2026
18,23.249170,1.49577651,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,32.21190834837036,5.08759134837035,.187565,32.21190863170808,27.74077316825729,4.47113546345079,.164838,Fr 27. Feb 21:42:01 CET 2026
21,27.124032,1.74507262,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,33.45813721660514,6.33382021660513,.233510,33.458137624638375,28.408169943533334,5.049967681105041,.186178,Fr 27. Feb 21:43:30 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,27.12431700000001,0,0,27.12431703585229,24.66928351775997,2.45503351809232,.090510,Fr 27. Feb 22:34:17 CET 2026
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.769124569690067,25.102789071010157,2.666335498679910,.098300,Fr 27. Feb 22:34:21 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.11069355892242,27.155086713734512,3.955606845187908,.145832,Fr 27. Feb 22:34:26 CET 2026
12,15.499447,.99718436,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,30.133618472116936,3.009301472116926,.110944,30.13361860660582,26.587434813393447,3.546183793212373,.130738,Fr 27. Feb 22:34:28 CET 2026
24,30.998894,1.99436873,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,34.86779203476468,7.74347503476467,.285480,34.86779261834049,29.125547077684534,5.742245540655956,.211701,Fr 27. Feb 22:34:31 CET 2026
9,11.624585,.74788825,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,29.261456984201196,2.137139984201186,.078790,29.26145707775062,26.059260535507857,3.202196542242763,.118056,Fr 27. Feb 22:34:31 CET 2026
27,34.873755,2.24366477,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,36.44699341047463,9.32267641047462,.343701,36.44699425069936,29.921451587502297,6.525542663197063,.240579,Fr 27. Feb 22:34:34 CET 2026
21,27.124032,1.74507262,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,33.45813721660514,6.33382021660513,.233510,33.458137615076545,28.443531768813028,5.014605846263517,.184874,Fr 27. Feb 22:34:38 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,27.12431700000001,0,0,27.124317036462188,24.668794545568506,2.455522490893682,.090528,Fr 27. Feb 22:34:40 CET 2026
6,7.749723,.49859215,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,28.477809634409414,1.353492634409404,.049899,28.47780970246242,25.56477608217629,2.91303362028613,.107395,Fr 27. Feb 22:34:42 CET 2026
18,23.249170,1.49577651,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,32.21190834837036,5.08759134837035,.187565,32.21190862438369,27.77173309280379,4.44017553157990,.163697,Fr 27. Feb 22:34:42 CET 2026
24,30.998894,1.99436873,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,34.86779203476468,7.74347503476467,.285480,34.867792606943674,29.161088395410534,5.706704211533140,.210390,Fr 27. Feb 22:34:44 CET 2026
30,38.748617,2.49296088,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,38.17273471728862,11.04841771728861,.407325,38.17273589278873,30.754623211156048,7.418112681632682,.273485,Fr 27. Feb 22:34:45 CET 2026
33,42.623479,2.74225698,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,39.97815964686727,12.85384264686726,.473886,39.978161271252276,31.627946407069523,8.350214864182753,.307849,Fr 27. Feb 22:34:45 CET 2026
45,58.122926,3.73944135,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,46.29378780852746,19.16947080852745,.706726,46.29379261065432,35.64402173362215,10.64977087703217,.392628,Fr 27. Feb 22:34:49 CET 2026
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.76912457013209,25.102388451471676,2.666736118660414,.098315,Fr 27. Feb 22:34:56 CET 2026
42,54.248064,3.49014524,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,44.94976099462377,17.82544399462376,.657175,44.949764684779495,34.17029005630222,10.779474628477275,.397409,Fr 27. Feb 22:34:58 CET 2026
42,54.248064,3.49014524,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,44.94976099462377,17.82544399462376,.657175,44.94976477606517,34.15389792940739,10.79586684665778,.398014,Fr 27. Feb 22:35:00 CET 2026
