Force_Target_N,Force_Actual_N,force_rescaled_N,Aspect_Ratio_a_b,muscle_b_cm,muscle_a_cm,Volume_cm3,surface_area_cm2,traction_N_cm2,Am,Rho,Initial_Length_cm,Final_Length_cm,Elongation_cm,Strain
36,2.418443,2.129910407458941,9.0267,33.366348,3.696406,455.9,13.663417316836,0.17700132726093387,550,10.493,33.366348,33.921966315596194,0.555618315596194,0.016652
39,2.619979,2.307402134110198,9.0267,33.366348,3.696406,455.9,13.663417316836,0.19175137077689003,550,10.493,33.366348,33.96991716766109,0.60356916766109,0.018089
42,2.821516,2.484894741456351,9.0267,33.366348,3.696406,455.9,13.663417316836,0.20650148748097893,550,10.493,33.366348,34.01813334602344,0.65178534602344,0.019534
0,0.0,0.0,10.1,35.961403,3.560535,455.9,12.677409486224999,0.0,550,10.493,35.961403,35.96140300000001,1e-14,0.0
9,0.560979,0.5324770548232285,10.1,35.961403,3.560535,455.9,12.677409486224999,0.04425028635460168,550,10.493,35.961403,36.10752759588873,0.14612459588873,0.004063
3,0.186993,0.17749235160774282,10.1,35.961403,3.560535,455.9,12.677409486224999,0.014750095451533893,550,10.493,35.961403,36.00985449552936,0.04845149552936,0.001347
45,3.023053,2.662387348802504,9.0267,33.366348,3.696406,455.9,13.663417316836,0.2212516041850678,550,10.493,33.366348,34.06661597901295,0.70026797901295,0.020987
15,0.934965,0.8874617580387142,10.1,35.961403,3.560535,455.9,12.677409486224999,0.07375047725766948,550,10.493,35.961403,36.20624295898934,0.24483995898934,0.006808
6,0.373986,0.35498470321548564,10.1,35.961403,3.560535,455.9,12.677409486224999,0.029500190903067786,550,10.493,35.961403,36.05856163663094,0.09715863663094,0.002701
18,1.121959,1.0649550588389487,10.1,35.961403,3.560535,455.9,12.677409486224999,0.0885006515896719,550,10.493,35.961403,36.25599774320075,0.29459474320075,0.008191
24,1.495945,1.4199397620544345,10.1,35.961403,3.560535,455.9,12.677409486224999,0.11800084249273969,550,10.493,35.961403,36.35631350001926,0.39491050001926,0.010981
21,1.308952,1.2424474104466914,10.1,35.961403,3.560535,455.9,12.677409486224999,0.10325074704120578,550,10.493,35.961403,36.30602053710102,0.34461753710102,0.009582
12,0.747972,0.7099694064309713,10.1,35.961403,3.560535,455.9,12.677409486224999,0.05900038180613557,550,10.493,35.961403,36.156753587500155,0.195350587500155,0.005432
36,2.243918,2.1299101176778974,10.1,35.961403,3.560535,455.9,12.677409486224999,0.1770013031793438,550,10.493,35.961403,36.560234282719335,0.598831282719335,0.016652
30,1.869931,1.77492446526992,10.1,35.961403,3.560535,455.9,12.677409486224999,0.14750103339580747,550,10.493,35.961403,36.45771841812162,0.49631541812162,0.013801
33,2.056925,1.9524177660701547,10.1,35.961403,3.560535,455.9,12.677409486224999,0.1622512077278099,550,10.493,35.961403,36.50883599834961,0.54743299834961,0.015222
27,1.682938,1.5974321136621774,10.1,35.961403,3.560535,455.9,12.677409486224999,0.1327509379442736,550,10.493,35.961403,36.4068781709374,0.4454751709374,0.012387
39,2.430911,2.3074024692856403,10.1,35.961403,3.560535,455.9,12.677409486224999,0.19175139863087767,550,10.493,35.961403,36.61191485538727,0.65051185538727,0.018089
42,2.617904,2.4848948208933828,10.1,35.961403,3.560535,455.9,12.677409486224999,0.20650149408241156,550,10.493,35.961403,36.66388098441135,0.70247798441135,0.019534
9,0.844393,0.5324773557621162,6.88,30.05402,4.368317,573.5,19.082193412489,0.04425031136343885,550,10.493,30.05402,30.1761404610051,0.1221204610051,0.004063
45,2.804897,2.6623871725011257,10.1,35.961403,3.560535,455.9,12.677409486224999,0.22125158953394547,550,10.493,35.961403,36.716134725280064,0.754731725280064,0.020987
0,0.0,0.0,6.88,30.05402,4.368317,573.5,19.082193412489,0.0,550,10.493,30.05402,30.054020000000005,5e-15,0.0
3,0.281464,0.1774922417194698,6.88,30.05402,4.368317,573.5,19.082193412489,0.014750086319520593,550,10.493,30.05402,30.094512051530597,0.040492051530597,0.001347
6,0.562928,0.3549844834389396,6.88,30.05402,4.368317,573.5,19.082193412489,0.029500172639041186,550,10.493,30.05402,30.135218247209473,0.081198247209473,0.002701
18,1.688786,1.0649547115242324,6.88,30.05402,4.368317,573.5,19.082193412489,0.0885006227268777,550,10.493,30.05402,30.30022181050607,0.24620181050607,0.008191
12,1.125857,0.7099695974815862,6.88,30.05402,4.368317,573.5,19.082193412489,0.05900039768295945,550,10.493,30.05402,30.217280470069426,0.163260470069422,0.005432
21,1.970251,1.2424475838474092,6.88,30.05402,4.368317,573.5,19.082193412489,0.10325076145127536,550,10.493,30.05402,30.342027157000583,0.288007157000583,0.009582
39,3.659038,2.307402925975348,6.88,30.05402,4.368317,573.5,19.082193412489,0.19175143658303012,550,10.493,30.05402,30.597672374306807,0.543652374306807,0.018089
24,2.251715,1.4199398255668787,6.88,30.05402,4.368317,573.5,19.082193412489,0.11800084777079595,550,10.493,30.05402,30.384058129556493,0.330038129556493,0.010981
30,2.814644,1.7749249396095252,6.88,30.05402,4.368317,573.5,19.082193412489,0.1475010728147142,550,10.493,30.05402,30.468805731562615,0.414785731562615,0.013801
