  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
   306      24   1.55947838e-04   2.33568242e-04   3.84418193e-11              inf              inf   1.81946983e-09
   306      25   3.18076040e-05   4.76393007e-05   1.26828973e-09              inf              inf   7.35100482e-10
   307       1   4.99850087e-01   3.32191294e-01   1.83577898e-04              inf              inf   1.68119618e-06
   307       2   1.35638796e+00   2.69576522e+00   2.94347706e-05   1.00000000e+00   1.00000000e+00   4.26995853e-05
   307       3   1.90432385e+00   3.79311885e+00   1.20216471e-04   9.99722816e-01   9.99722816e-01   5.90032823e-05
   307       4   3.98061035e-01   7.92824395e-01   1.55856799e-04   1.00474030e+00   1.00474030e+00   1.05763919e-04
   307       5   4.51331764e-01   8.99948609e-01   7.19506802e-05   1.00341211e+00   1.00341211e+00   8.29957231e-05
   307       6   7.57969393e-02   1.50789854e-01   1.02540654e-04              inf              inf   4.56108721e-05
   307       7   2.20348728e-01   4.39207349e-01   1.48470062e-06              inf              inf   2.79368692e-05
   307       8   1.38884117e-03   2.76897131e-03   3.75184225e-07              inf              inf   7.84560043e-07
   307       9   4.34629723e-04   8.66531488e-04   1.20155072e-07              inf              inf   2.05654853e-07
   307      10   1.54688866e-04   3.08406972e-04   4.74155685e-08              inf              inf   7.78976601e-08
   307      11   2.05486978e-04   4.09685087e-04   6.04567695e-08              inf              inf   1.00861642e-07
   307      12   8.17390045e-07   1.62968690e-06   2.33874678e-10              inf              inf   6.17273717e-10
   307      13   1.28121589e-07   2.55444784e-07   2.89898118e-11              inf              inf   1.24083132e-10
   307      14   3.57339081e-08   7.12451309e-08   4.29403481e-12              inf              inf   4.04237145e-11
   307      15   3.23662287e-08   6.45307588e-08   2.58549412e-12              inf              inf   8.73272517e-12
